datetime,정답,예측
2019-10-18,373,241
2019-10-19,280,272
2019-10-20,354,278
2019-10-21,105,161
2019-10-22,443,366
2019-10-23,277,394
2019-10-24,204,161
2019-10-25,325,251
2019-10-26,225,266
2019-10-27,304,192
2019-10-28,247,196
2019-10-29,171,184
2019-10-30,114,170
2019-10-31,296,228
2019-11-01,266,168
2019-11-02,237,153
2019-11-03,298,236
2019-11-04,134,108
2019-11-05,313,157
2019-11-06,303,195
2019-11-07,259,193
2019-11-08,242,173
2019-11-09,297,219
2019-11-10,300,221
2019-11-11,182,143
2019-11-12,274,195
2019-11-13,153,194
2019-11-14,229,124
2019-11-15,138,155
2019-11-16,230,171
2019-11-17,228,195
2019-11-18,104,115
2019-11-19,210,146
2019-11-20,219,201
2019-11-21,170,114
2019-11-22,91,95
2019-11-23,304,145
2019-11-24,170,116
2019-11-25,172,119
2019-11-26,220,120
2019-11-27,202,163
2019-11-28,222,58
2019-11-29,181,76
2019-11-30,141,93
2019-12-01,217,87
2019-12-02,201,139
2019-12-03,129,74
2019-12-04,53,44
2019-12-05,146,86
2019-12-06,163,57
2019-12-07,163,76
2019-12-08,159,110
2019-12-09,179,158
2019-12-10,152,87
2019-12-11,124,48
2019-12-12,165,132
2019-12-13,157,97
2019-12-14,247,113
2019-12-15,256,97
2019-12-16,157,68
2019-12-17,322,144
2019-12-18,178,77
2019-12-19,169,80
2019-12-20,329,158
2019-12-21,317,173
2019-12-22,326,190
2019-12-23,200,103
2019-12-24,340,167
2019-12-25,440,194
2019-12-26,374,154
2019-12-27,412,229
2019-12-28,218,99
2019-12-29,485,244
2019-12-30,285,94
2019-12-31,239,154
